Rainfall (mm),Temperature (°C),Humidity (%),Flood Occurred
218.9994933,34.14433705,43.9129633,1
55.35359868,28.77877361,27.58542201,0
103.9919083,43.93495575,30.108738,1
198.9841911,21.56935353,34.45369025,0
144.6268034,32.63569248,36.29226675,0
221.5713116,36.00630045,39.38094474,1
288.3623704,39.76693468,40.43680232,1
34.96400631,27.20913091,56.45730764,1
212.8703149,35.60765723,60.76585527,0
69.10324669,24.09604414,44.71033665,0
124.3430182,28.06428277,92.58371359,1
9.858817739,41.86881394,64.25117787,1
40.77221469,43.49722828,82.99815424,0
95.93318671,36.56452041,93.93902659,0
102.5957416,26.23055672,33.05080917,0
269.8755649,39.6017337,54.2299587,1
222.5438728,15.77601245,54.65683214,0
291.6548905,18.08237732,48.35778004,1
179.7214531,34.84121209,20.71246932,1
72.51411963,23.73745726,85.27776862,0
98.29650898,43.54158655,28.92474572,1
95.95077699,28.08181836,99.63844783,0
97.9482983,27.88094461,81.83667935,0
201.8892519,35.34238531,66.40080141,0
159.2423784,38.02705687,32.36851342,0
115.6272534,29.26676214,61.23143771,1
44.72693062,21.42002705,40.88869927,0
6.641748883,38.19925928,40.18580196,0
65.65040328,24.61053825,86.36233995,0
32.24142119,20.25332308,50.45155392,1
235.6335093,33.9492057,56.05790427,1
33.74938734,17.71361001,87.43717902,1
217.2684712,44.14058025,27.02325006,0
115.6976069,33.97191793,67.56942825,1
22.01351692,44.57686563,66.25725451,1
243.8190148,25.1668027,54.01716554,0
173.8891711,44.13615484,86.38197131,1
70.72845386,19.36686743,95.43120491,1
268.4043523,16.22084317,57.22686895,1
13.57749416,15.98952181,56.49176408,0
60.54588246,28.94611112,60.16509837,1
225.6140783,17.49012592,77.84992247,0
212.8133791,30.36503653,73.44482326,0
86.78150812,24.82501511,37.82679594,0
18.60746261,25.06886977,25.11162789,0
257.4234217,34.0682699,95.94033039,0
94.10929142,19.89294018,40.88558078,0
58.71402448,37.99660111,71.08773478,1
154.8185467,32.46092759,86.27504022,0
273.0681598,42.44833887,44.02214004,0
13.06397335,25.94521961,70.83467309,0
229.7412264,44.48144976,28.63201929,1
171.7419684,32.2748294,97.59451555,0
127.634735,44.20205869,24.652662,0
223.2241332,15.81181962,55.05397391,0
289.7473273,36.83928967,62.94553936,1
68.76186335,39.49864573,83.23854229,0
43.09420952,16.5951986,29.69028137,0
273.8645236,32.36908992,55.26463791,1
200.6859232,39.05826881,43.97692556,1
131.3958065,31.83116176,44.96085726,1
171.9778711,16.91440771,82.30303329,1
223.6841716,35.80341723,20.4368756,1
231.9095696,16.81790744,79.92669131,1
275.9682542,39.52406685,84.83187441,1
128.0528367,16.2910255,92.10897951,0
88.02327301,19.12192143,70.15054426,1
191.89928,23.25322772,46.67642626,1
124.7183698,34.00094377,54.1787786,0
178.3795362,44.29077299,97.57888658,0
125.9957395,18.53468558,90.49494611,1
45.898736,19.28123008,57.08207273,1
140.8280255,26.0661119,95.44504057,1
207.2753466,40.08657413,85.83639003,0
239.7851423,29.01692858,92.08718893,1
147.997883,24.64831801,74.63817877,1
49.57136706,31.83611497,88.61232348,0
124.4063129,22.81569592,91.34129131,0
235.8881787,27.03479722,27.36132676,1
123.8577812,24.97815448,97.21735813,1
208.9592381,39.12423067,46.6890479,1
152.1641045,42.72767179,55.19196077,0
72.36693753,37.78716576,83.35230074,1
238.8451524,28.17250728,73.19170445,1
25.26403622,30.13004932,91.44479299,1
157.4670848,18.75221082,52.04590006,1
62.66731027,37.40594133,49.86305309,1
20.11968856,32.89427038,22.53510796,0
150.8801811,42.07319988,57.01803013,1
149.8686468,21.01833431,77.92566163,1
212.0702705,37.79178366,44.09429741,1
223.4252079,35.54014985,57.01812109,0
218.3374466,22.97536601,37.55182148,0
122.8676199,35.02135919,81.82302447,0
189.5069362,42.73120142,24.84092491,1
173.0835728,42.55307963,76.4306444,1
126.4685268,36.58879724,50.31520094,0
179.1638083,16.44219338,23.32768555,1
284.174363,41.16793012,88.27756698,1
57.8681231,34.73335821,59.01774905,1
271.7316287,24.3130276,67.94551757,0
16.03665419,20.61751085,78.56245532,0
92.51676387,18.48611589,72.40595464,1
86.44357458,16.50710698,78.46854967,1
187.9095324,37.62309744,80.98253477,1
39.36748553,22.07528997,67.13212245,0
264.7042836,15.72758808,49.25102647,1
248.5654225,26.91811956,39.45137198,1
195.6197459,29.47821242,92.23225893,1
137.5241495,20.07690693,97.59398757,1
279.8868126,16.32145008,48.61302041,1
249.2239664,20.67376449,28.98485833,0
149.7945444,35.37308286,37.80298617,1
210.5620063,17.46731032,73.65338768,1
170.0789857,31.65111092,33.8346696,0
176.3826715,19.39235964,82.40978184,0
99.29282083,20.87067521,93.84241919,0
138.6253814,26.7923365,97.09212121,1
23.43642924,18.02476008,20.74604048,1
107.2046075,20.19610508,96.6523332,1
208.7485546,25.46857234,79.21555353,0
285.9648092,24.89007016,26.72401858,0
